ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2003/01/02,9851000,426608100,41.90,44.30,41.50,44.00,+2.50,2862
2003/01/03,10514855,463128499,44.60,44.60,43.40,44.00,0.00,2360
2003/01/06,8857971,396967613,44.20,45.10,44.00,44.90,+0.90,2537
2003/01/07,7596166,336634906,45.10,45.20,43.90,44.20,-0.70,1789
2003/01/08,14400224,652691961,44.00,46.00,44.00,45.40,+1.20,3617
2003/01/09,10874694,479920764,45.00,45.50,43.00,44.00,-1.40,2741
2003/01/10,6025244,263098684,44.30,44.30,43.10,43.80,-0.20,1496
2003/01/13,7270433,318418946,43.80,44.50,43.20,43.50,-0.30,1979
2003/01/14,17123632,763797161,43.50,45.30,43.20,43.90,+0.40,4096
2003/01/15,23848022,1087310939,44.30,46.60,44.20,46.30,+2.40,5279
2003/01/16,14685974,681743104,46.70,47.50,45.40,45.50,-0.80,3627
2003/01/17,19864610,928179769,45.60,47.80,45.60,46.00,+0.50,4848
2003/01/20,21793829,1047741564,46.20,49.20,46.20,49.20,+3.20,4827
2003/01/21,28484451,1415698760,49.90,50.50,48.50,49.20,0.00,5979
2003/01/22,15864057,784149592,49.20,50.00,48.70,49.80,+0.60,3830
2003/01/23,11182247,547934979,50.00,50.50,48.00,48.00,-1.80,2726
2003/01/24,9924830,473908383,48.00,48.80,46.50,47.00,-1.00,2657
2003/01/27,6134364,284467269,47.00,48.00,45.50,46.00,-1.00,1710
2003/01/28,5362419,250407792,46.40,47.00,45.90,47.00,+1.00,1479
2003/02/06,4999000,235657100,47.00,47.80,46.00,47.30,+0.30,1242
2003/02/07,5607685,257119466,47.40,47.60,44.20,45.20,-2.10,1570
2003/02/10,4436611,198929648,45.00,45.50,44.20,45.00,-0.20,1043
2003/02/11,10122737,461922596,45.10,46.70,44.50,44.90,-0.10,2411
2003/02/12,8384802,382501265,45.00,46.40,45.00,45.80,+0.90,2229
2003/02/13,5551970,252526975,45.90,46.20,44.50,44.50,-1.30,1424
2003/02/14,8080750,352459478,44.70,45.20,42.00,44.30,-0.20,1755
2003/02/17,15701503,727697540,45.00,47.40,44.80,46.80,+2.50,3282
2003/02/18,3723011,171322753,46.60,46.60,45.50,45.80,-1.00,989
2003/02/19,6454468,293002465,46.50,46.50,44.50,45.10,-0.70,1681
2003/02/20,8006595,351620305,44.00,45.10,43.00,44.00,-1.10,1406
2003/02/21,3532411,154801624,44.00,44.10,43.20,44.00,0.00,982
2003/02/24,5173467,228419878,44.50,44.80,43.70,44.20,+0.20,1339
2003/02/25,2729001,118583977,43.50,43.90,43.10,43.50,-0.70,742
2003/02/26,2499685,108866479,43.50,44.10,43.10,43.50,0.00,794
2003/02/27,7170747,315990063,43.20,44.60,43.20,43.70,+0.20,1921
2003/03/03,11201952,511687084,44.20,46.40,44.20,45.80,+2.10,3000
2003/03/04,16933250,791048799,45.50,47.40,45.30,46.60,+0.80,3835
2003/03/05,7658075,359082957,46.60,47.40,46.20,46.90,+0.30,2269
2003/03/06,4424147,206321146,46.90,47.10,46.30,46.80,-0.10,1048
2003/03/07,10626944,499713141,46.10,47.80,45.50,47.50,+0.70,2918
2003/03/10,5277655,245840742,47.50,47.50,46.10,46.50,-1.00,1250
2003/03/11,4424400,205073953,46.10,46.80,45.90,46.80,+0.30,1112
2003/03/12,4300590,200900657,46.80,47.00,46.30,47.00,+0.20,848
2003/03/13,5507079,257378783,47.00,47.20,46.50,46.60,-0.40,1123
2003/03/14,19305133,925547275,47.80,48.80,47.00,47.50,+0.90,4417
2003/03/17,6444345,305566833,47.50,47.90,46.90,47.30,-0.20,1671
2003/03/18,23188564,1149505790,48.40,50.50,48.10,49.50,+2.20,4901
2003/03/19,10546160,503706772,49.50,49.50,46.30,47.20,-2.30,2601
2003/03/20,4841278,229253800,47.20,48.00,46.50,47.80,+0.60,1564
2003/03/21,6814069,329329361,47.80,48.80,47.70,48.60,+0.80,1928
2003/03/24,3839690,183725740,48.60,48.60,47.40,47.60,-1.00,756
2003/03/25,3258898,152463507,46.80,47.20,46.50,47.20,-0.40,573
2003/03/26,2403629,113882354,47.40,47.90,46.80,47.20,0.00,515
2003/03/27,2203142,104586554,47.20,47.80,47.00,47.80,+0.60,828
2003/03/28,3998750,191721161,47.80,48.20,47.70,47.80,0.00,1270
2003/03/31,4221484,195146068,47.20,47.40,45.50,46.10,-1.70,964
2003/04/01,3077299,141499604,45.90,46.10,45.80,46.00,-0.10,628
2003/04/02,6560852,293172232,46.00,46.00,43.80,45.40,-0.60,1520
2003/04/03,4056077,182861384,45.40,45.60,44.70,45.00,-0.40,1170
2003/04/04,5134339,232653882,45.00,46.00,44.50,45.50,+0.50,1453
2003/04/07,6190511,286282599,45.50,47.10,45.30,46.40,+0.90,1925
2003/04/08,4810681,223729941,46.40,47.10,46.10,46.40,0.00,1349
2003/04/09,2247640,104182574,46.00,46.50,46.00,46.40,0.00,675
2003/04/10,4129639,192509470,46.40,46.90,46.10,46.80,+0.40,1182
2003/04/11,8660482,410357232,47.00,48.00,46.50,46.90,+0.10,2350
2003/04/14,2360031,109231076,47.00,47.20,45.90,46.00,-0.90,741
2003/04/15,2308591,106284785,46.20,46.30,45.70,46.00,0.00,715
2003/04/16,4506212,211302575,46.30,47.30,46.30,46.80,+0.80,1306
2003/04/17,3217029,148157332,46.80,46.90,45.70,46.10,-0.70,923
2003/04/18,3856780,178268045,46.50,46.70,45.70,46.50,+0.40,1048
2003/04/21,7511004,332822589,46.00,46.10,43.80,44.10,-2.40,1823
2003/04/22,4975195,216340188,42.70,44.00,42.70,43.60,-0.50,1161
2003/04/23,6484128,279007820,43.60,43.80,42.20,43.30,-0.30,1680
2003/04/24,17262585,700614415,42.50,43.00,40.30,40.50,-2.80,2250
2003/04/25,13426318,510971065,39.10,39.30,37.70,38.80,-1.70,1898
2003/04/28,11949330,467057831,38.30,39.80,38.10,39.40,+0.60,2940
2003/04/29,11938404,480018634,40.00,40.90,39.20,40.70,+1.30,2740
2003/04/30,3986446,159091320,40.70,40.70,39.30,39.70,-1.00,979
2003/05/02,5443738,218269347,39.70,40.70,39.50,40.50,+0.80,1439
2003/05/05,5434383,222034795,40.00,41.30,40.00,41.00,+0.50,1292
2003/05/06,10042636,419539228,41.00,42.40,40.70,42.40,+1.40,2124
2003/05/07,5777006,243028121,42.40,42.60,41.40,42.20,-0.20,1287
2003/05/08,4072416,170628816,42.00,42.50,41.50,41.90,-0.30,841
2003/05/09,3547136,149414922,41.90,42.80,41.40,42.10,+0.20,1086
2003/05/12,2922869,123816147,42.00,42.80,41.70,42.10,0.00,915
2003/05/13,6360365,270572995,42.50,42.90,41.80,42.10,0.00,1543
2003/05/14,2245315,93950879,41.80,42.10,41.60,41.60,-0.50,684
2003/05/15,2718808,111687329,41.50,41.60,40.70,41.60,0.00,768
2003/05/16,1958455,80753910,41.50,41.60,40.80,41.10,-0.50,461
2003/05/19,2226283,92007036,40.70,41.90,40.60,41.90,+0.80,722
2003/05/20,2515618,105791648,41.50,42.40,41.30,42.20,+0.30,997
2003/05/21,2078955,87452103,42.20,42.40,41.60,42.20,0.00,726
